Student Number,Person ID
12017730,1292983
12017719,1292674
12017715,1292673
12016603,1231732
12016109,1223999
12016101,1274969
12015689,1284447
12014457,1279720
12014329,1279218
12014300,1269873
12013974,1277777
12013272,1275340
12013187,1274967
12013089,1210654
12012524,1272522
12012161,1271123
12011662,1269045
12011033,1266799
12010798,1265889
12010257,1263348
12009524,1259739
12008437,1254505
12008062,1252833
12006970,1246539
12006617,1244969
12006390,1226624
12006015,1242351
12005826,1241288
12004927,1231616
12004320,1226630
12004137,1233534
12004122,1233535
12003798,1231731
12003723,1231337
12003641,1229368
12003404,1227794
12003395,1227795
12002790,1224098
12002784,1223998
12001827,1219411
12000744,1210433
12000133,1210655
1195617,221785
1193366,219521
1192769,218945
1192763,218939
1192206,218358
1192182,218333
1191116,217247
1191107,217237
1189483,215620
1188501,214729
1187925,214154
1187443,213669
1187296,213517
1186603,212803
1186381,212571
1186277,212466
1185749,211930
1185325,211487
1184202,210365
1183259,209460
1182968,209178
1182965,209176
1182402,208606
1181836,208045
1181832,208041
1181610,207843
1181305,207527
1181150,207369
1179590,205948
1179165,205533
1178370,204735
1177796,204167
1177575,204098
1176359,202877
1176015,202535
1175914,202437
1175865,202384
1175264,201760
1172687,199169
1172389,198860
1172251,198720
1171988,198450
1170261,196691
1168904,195485
1168304,194908
1166316,193020
1165485,192169
1165094,191774
1165000,191677
1163412,190196
1160172,187043
1160153,187023
1160105,186970
1151723,178516
1150023,176786
1149916,176678
1145621,172276
1144997,171656
1144788,171443
1144590,171241
1144063,170700
1144058,170694
1143744,170370
1143741,170367
1143513,170136
1143354,169965
1143263,169870
1143242,169847
1143239,169843
1142494,169083
1142493,169082
1142366,168952
1141826,168396
1139880,166858
1139788,166767
1139741,166719
1139128,166093
11391134,811732
11391097,811698
11389514,810250
11389503,810274
11389215,808962
11387638,807265
11387022,793588
11386783,793503
11386423,793208
11386262,793037
11386188,792838
11386128,792806
11385373,790352
11385364,790304
11385293,789998
11385253,790076
11384834,789400
11384560,789428
11384496,789199
11384446,789085
11384020,783888
11383220,782070
1138302,165279
11382634,781355
11382486,781415
11382469,781430
11382445,781428
11382408,781413
11382327,781053
11382326,781083
11381995,781132
11381282,780138
11380872,165031
11380808,164961
11380523,164651
11380256,164359
11379987,164065
11379974,164051
11379330,163352
11378993,162986
11378984,162976
11378335,162269
11378311,162243
11378145,162066
11378009,161916
11377877,161776
11377673,161556
11377589,161464
11377581,161456
11376195,159961
11376194,159960
11376192,159958
11375994,159744
11375800,159535
11375064,158732
11374705,158342
11373488,157018
11373482,157012
11373269,156780
1137312,156619
11372152,155705
11371414,154902
11371326,154807
11369998,153365
11369275,152577
11368329,151557
11366752,149851
11366027,149066
11364831,147764
11364591,147502
11364587,147497
11363867,146720
11363123,145912
11363070,145855
11363055,145838
11363037,145818
11362871,145636
11362376,145103
11361476,144131
11360833,143433
11360706,143295
11360627,143209
11360395,142956
11360236,142782
11359758,142262
11358149,140517
11357373,139677
11357359,139661
11356633,138874
11356513,138742
11356410,138629
11355153,137272
11354115,136145
11353799,135800
1135377,135769
11353110,135052
11353078,135016
1134720,133203
